name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Gurgaon, India",2021-08-01T00:00:00,29,38.2,28,94.36,,,,,,,0,0,1000,89.1,4,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T01:00:00,29,38.2,28,94.36,,,,,,,0,0,999,89.1,4,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T02:00:00,28.3,34.9,26.7,91.15,,,,,,,0,,998.5,78.4,2.8,,,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"Gurgaon, India",2021-08-01T03:00:00,28,34.5,27,94.32,,,,,,,0,0,999,89.1,4,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T04:00:00,28,34.5,27,94.32,,,,,,,7.6,270,999,89.1,3,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T05:00:00,27.5,32.8,26.5,94.78,10,,,,,,13.6,245,998.3,98.4,1.5,,,0,,"Rain, Overcast",rain,"42182099999,VIDP,42181099999"
"Gurgaon, India",2021-08-01T06:00:00,25,25,24,94.19,,,,,,,14.8,90,1001,100,2,,,0,,Overcast,cloudy,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T07:00:00,24,24,24,100,,,,,,,11.2,100,1001,100,3,,,0,,Overcast,cloudy,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T08:00:00,25.2,25.2,24.9,98.44,22.03,,,,,,7.2,82,1000.3,99.9,2,,,0,,"Rain, Overcast",rain,"42182099999,42176099999,VIDP,42181099999"
"Gurgaon, India",2021-08-01T09:00:00,26,26,26,100,,,,,,,0,0,1000,100,3,,,0,,Overcast,cloudy,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T10:00:00,26,26,26,100,,,,,,,7.6,270,1000,100,3,,,0,,Overcast,cloudy,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T11:00:00,27.1,31.8,26.4,95.76,4.8,,,,,,7.2,250,999.3,96.9,2.4,,,0,,"Rain, Overcast",rain,"42182099999,VIDP,42181099999"
"Gurgaon, India",2021-08-01T12:00:00,28,35.6,28,100,,,,,,,7.6,300,999,100,4,,,0,,Overcast,cloudy,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T13:00:00,30,42.2,29,94.4,,,,,,,5.4,260,999,89.1,4,,,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T14:00:00,30.4,40.6,27.7,85.84,,,,,,,6.4,340,997.2,87.7,2.8,,,0,,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42181099999"
"Gurgaon, India",2021-08-01T15:00:00,31,46.6,30,94.44,,,,,,,7.6,340,997,89.1,3,,,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T16:00:00,31,44.4,29,89.14,,,,,,,7.6,330,997,89.1,3,,,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T17:00:00,31.2,41.8,27.5,81.07,0.4,,,,,,5.1,268,996,82.6,2.4,,,0,,"Rain, Partially cloudy",rain,"42182099999,42176099999,VIDP,42181099999"
"Gurgaon, India",2021-08-01T18:00:00,31,42.4,28,84.11,,,,,,,7.6,320,997,50,3,,,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T19:00:00,30,40.4,28,89.07,,,,,,,0,0,998,50,3,,,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T20:00:00,29.6,37.3,26.4,83,,,,,,,0,0,997.8,65.4,2.8,,,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"Gurgaon, India",2021-08-01T21:00:00,29,38.2,28,94.36,,,,,,,5.4,110,999,50,4,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T22:00:00,29,38.2,28,94.36,,,,,,,5.4,110,999,50,4,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-01T23:00:00,28.8,36.4,27,90.04,,,,,,,4.6,140,998.4,45.4,2.8,,,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"Gurgaon, India",2021-08-02T00:00:00,29,38.2,28,94.36,,,,,,,0,0,999,27.7,3,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-02T01:00:00,28,34.5,27,94.32,,,,,,,0,0,998,27.7,3,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-02T02:00:00,27.9,33.9,26.6,92.8,,,,,,,0,0,997.4,54.6,2.4,,,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"Gurgaon, India",2021-08-02T03:00:00,28,34.5,27,94.32,,,,,,,0,0,998,50,3,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-02T04:00:00,28,34.5,27,94.32,,,,,,,5.4,260,998,89.1,3,,,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Gurgaon, India",2021-08-02T05:00:00,27.2,31.7,26.2,94.36,,,,,,,4.6,270,998.1,87.7,2,,,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"Gurgaon, India",2021-08-02T06:00:00,27,31.2,26,94.27,,,,,,,0,0,999,89.1,2,,,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Gurgaon, India",2021-08-02T07:00:00,27,31.2,26,94.27,,,,,,,0,0,1000,89.1,2,,,0,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Gurgaon, India",2021-08-02T08:00:00,28.2,34.9,26.9,92.99,9.6,,,,,,0,2,999.5,98.3,1.9,,,0,,"Rain, Overcast",rain,"42182099999,42176099999,VIDP,42181099999"
"Gurgaon, India",2021-08-02T09:00:00,29,38.2,28,94.36,,,,,,,7.6,360,1001,100,2,,,0,,Overcast,cloudy,"VIDP,42181099999"
"Gurgaon, India",2021-08-02T10:00:00,30,44.2,30,100,,,,,,,9.4,260,1001,100,2,,,0,,Overcast,cloudy,"VIDP,42181099999"
"Gurgaon, India",2021-08-02T11:00:00,30.6,39.2,26.6,79.44,,,,,,,7,60,1000.2,96.9,2.1,,,0,,Overcast,cloudy,"42182099999,VIDP,42181099999,VIDD"
